"sub_count","total_views"
237000,32581909
84400,15487514
1250000,115438316
61500,8679721
7390,175116
107000,16492037
10400000,3332107397
2700000,664952009
79600,6461844
1280000,252737593
1240000,374088369
153000,32673426
23300,4745014
139000,12146661
48500,6101015
7220,1408699
3980,675497
99,415
63800,5534236
17500,2665393
39800,8341657
2700000,393877864
3640,449652
3810,693627
672000,264556087
186000,31941194
574000,189689958
7680,1712973
105000,28961729
851000,224274159
756000,174160561
735000,223446782
801000,87625924
22600,2878026
571000,153842720
648000,344360356
49300,2864541
54700,2271954
29400,3561870
359000,145879453
82300,16502670
22100000,14415173360
73200,14074797
442000,71743056
5650,1071059
308000,30825575
3510000,1169789063
2650000,650346662
5960,1855063
57100,3936230
12200,2646866
14200000,2962031959
1260000,434449464
1410000,623832119
214000,65727469
58600,15819872
12900,2700309
18700,1421934
694000,40508828
65500,14160929
5850000,4055636062
6000000,1617600551
1270,129199
1130000,542287733
12400000,4845976598
4700000,1222781104
94200,13544317
23300000,6601720336
136000,24569288
55400,6664010
2430,200953
2170,251076
574000,175401410
47500,3199634
1380000,267051349
11100,3241154
792000,311519806
31800,12703024
802000,172072769
13400000,5377039472
372000,51623452
257000,76384418
260,53549
222000000,39513856979
30500,7487826
75000,13640405
6800000,8136689656
28600,4502740
16000,6124228
32200,3006876
37300,17859426
1790,80490
109000,20310558
15100,1199670
9160000,1668963286
6350000,2265036553
307000,66064203
20400,4251818
2110,331291
5800,180961
543000,88443228
141000,21239816
245000,64032413
1060000,266539998
224000,5790705
250000,33854174
8670000,5325310447
2330000,1467992158
2500000,1445437967
4000000,1589330552
181000,30376864
3140,332479
23900,2453247
67700,13208267
2320,136694
28500,3740037
6700000,3526096229
1520000,296564506
128000,25527261
2740,98367
37900,5803660
508000,139518861
34700,5450404
20400000,11441704856
7800,1984361
785000,515567688
2040000,419519623
31000,5522896
49200,13361768
29500,3057866
2740000,625972043
21900,1230963
4790000,4504889843
908000,151723782
107000,15812620
16500000,11476411125
583000,122586169
6640,644376
364000,45588012
236000,27067397
142000,29824973
5620000,2650982299
14400,4042169
329000,36247587
240000,58302717
1200000,293556941
200000,75065441
195000,62526956
237000,38616582
48100,8462504
12400,106467
45700,28916669
79100,30392593
5050,428134
6260000,1224808995
9100,1136635
215000,66009154
2080000,1417905014
4120000,1505303752
174000,33456138
30000,4637358
5620000,1521255331
325000,28309689
10000000,1540292856
68700,9783051
22600000,7086798762
98700000,80694101654
18000,2426941
64600,3203077
73400,22478841
27400,6147385
44700,6379772
402000,20594133
153000,94714300
38300,2851560
21800,11977751
776000,244785022
50,17877
18800,2983213
56300,859010
33400000,18474714353
96800,12318391
26800,1525871
3850000,683587182
165000,54031297
54600,2917390
7990,891663
361000,78272412
3800000,1148004959
4700000,1844395843
307000,197023268
6170000,931392338
26500000,11832907070
8110000,3912299126
1120,166309
3320000,2008377633
38000,5888036
49200,15816150
14500,1299564
920000,361727756
9280000,2222282863
192000,58323303
1740000,312455361
103000,44586143
1570000,1014901597
256000000,242105626611
957000,416345616
37200,8022548
369000,15945384
32600000,10907902042
1570,322936
515000,292262029
264000,62012107
2540,166019
167000,32747079
413000,235473114
145000,26973524
29800,2984002
